Publicatiedatum;Bronsoort;Url;Geplaatst door (optioneel);WhatsApp nummer (optioneel);Bericht;Tags;Sentiment;Voltooid op (optioneel);Gereageerd op (optioneel);Afhandeltijd (optioneel);Binnen service level (optioneel);Caseowner (optioneel);Reactie(s) (optioneel);PR waarde
15-03-2019 11:21:08;facebook;https://www.facebook.com/abppensioenfonds/inbox/1727145337332291/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Hi Kimberley,  Ik begrijp dat je schrikt van dit onderzoek. Door de gegeven cijfers lijkt een slecht beeld te ontstaan. Maar in dit rapport wordt een eenzijdig beeld neergezet. We herkennen ons hier niet in. Graag leg ik uit waarom. ABP en andere pensioenfondsen scoren in dit rapport niet goed op het gebied van duurzaamheidsbeleid. Dat is vreemd. Want andere onderzoeken geven een ander beeld van de prestaties op het gebied van duurzaam en verantwoord beleggen.  Dit rapport onderzocht niet wat het duurzaam en verantwoord beleggingsbeleid van ABP nu precies inhoudt. En hoe dit beleid wordt uitgevoerd. Ook de resultaten die we gehaald hebben op dit terrein worden door dit rapport buiten beeld gelaten.  De score in Eerlijk pensioenlabel is niet goed. Het probleem is dat de onderzoekers voor hun scoringsmethodiek uitgaan van meer dan 392 gedetailleerde beoordelingscriteria. Ze zoeken naar publieke informatie bij pensioenfondsen over het toepassen van deze criteria in hun duurzaamheidsbeleid. Echter, fondsen publiceren normaal alleen het beleid op hoofdlijnen en principes. En niet op de onderliggende criteria. De onderzoekers nemen vervolgens aan dat deze criteria niet bestaan. En op basis daarvan delen ze onvoldoendes uit aan alle fondsen.  Ander onderzoek van de Vereniging van Beleggers voor Duurzame Ontwikkeling (VBDO), dat gericht was op duurzaamheidsfactoren in het beleggingsproces, sluit veel beter aan op de werkwijze van pensioenfondsen. Daarbij kijkt men naar governance, beleid, uitvoering, instrumenten, verantwoording en rapportering. Oftewel, men kijkt naar het beleid op hoofdlijnen én hoe dat daadwerkelijk wordt uitgevoerd. Uit die onderzoeken komen pensioenfondsen zoals ABP steeds naar voren als koplopers.  We blijven actief om onze duurzaamheidsprestaties te verbeteren. En we doen dat onder andere in dialoog met onze deelnemers en andere belanghebbenden (waaronder Non-Governmental Organisations).  Daarnaast hebben wij als doel om in 2020 alleen nog aandelen en obligaties te bezitten van bedrijven met voldoende aandacht voor verantwoord ondernemen. In bedrijven die achterblijven zullen we alleen nog beleggen wanneer we hen kunnen aanzetten tot verbeteringen. Deze noemen wij beloften. In achterblijvers die niet of niet voldoende verbetering laten zien, willen wij niet meer beleggen.  Bedrijven worden uitgesloten als ze een product maken dat: - per definitie schadelijk is voor mensen: - en we daar met onze invloed als aandeelhouder niets aan kunnen veranderen: - en het geen nadelige gevolgen heeft als het er niet meer zou zijn: - en er een wereldwijd verdrag is over het uitbannen ervan.  Voorbeelden van onze uitsluitingen zijn kernwapens, tabak en het Amerikaanse bedrijf Walmart.  Wil je meer weten over ons duurzame en verantwoorde beleggingsbeleid en bereikte resultaten? Kijk dan eens op www.belangrijkekeuzes.nl.  Heb je nog meer vragen? Ik hoor ze graag! :) Vriendelijke groet, Koen ;;negatief;;;;;;;0
15-03-2019 11:19:44;facebook;https://www.facebook.com/abppensioenfonds/inbox/2146446552068832/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Hoi Emmie,  Op dit moment kunnen we inderdaad niets anders doen dan afwachten. Je ontvangt van ons een brief als wij het verzoek van CB hebben ontvangen. Ik kan nog toevoegen dat de verwerkingstermijnen in de wet zijn vastgelegd. Dit zijn reguliere termijnen voor een verzoek zoals een waardeoverdracht.  Zo lang wij het verzoek nog niet hebben ontvangen, kunnen wij helaas geen verdere duidelijkheid geven over de verwerkingstermijn daarna. Ik zie dat jullie post digitaal aan hebben staan. Dit betekent dat wij het poststuk in MijnABP plaatsten en je een alert-mail van ons ontvangt.  Vriendelijke groet, Judith ;;neutraal;;;;;;;0
15-03-2019 11:05:26;facebook;https://facebook.com/2146344675412353/?comment_id=2147875165259304;ABP Pensioenfonds voor overheid en onderwijs;;ABP Pensioenfonds voor overheid en onderwijs Tja, dat is dan het gevolg van de staking 🙁 Veel plezier vandaag met de kleindochters 😉 Groet, Cindy ;;negatief;;;;;;;10
15-03-2019 11:00:15;facebook;https://www.facebook.com/abppensioenfonds/inbox/1780340725346085/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Hallo mevrouw Martens,  Hier gaat het goed, hoe gaat het met jou?  In je bericht stel je de vraag over de inhouding van belasting. Ik zie op de betaalspecificatie dat je €12,08 loonheffing betaald. Om dit bedrag niet te hoeven te betalen kun je vrijstelling aanvragen via de Belastingdienst. Dat kan hier: https://www.belastingdienst.nl/wps/wcm/connect/bldcontentnl/themaoverstijgend/programmas_en_formulieren/verzoek_vrijstelling_inhouding_loonbelasting_premie_volksverzekeringen  Als het verzoek wordt goedgekeurd door de Belastingdienst, krijgen wij dit door van de Belastingdienst en hoef je geen loonheffing meer te betalen.  Heb je voor nu voldoende informatie, of heb je misschien nog vragen? Ik help je weer graag.  Vriendelijke groet, Cindy ;;neutraal;;;;;;;0
15-03-2019 09:31:27;twitter;https://twitter.com/abppensioen/status/1106472968132218882/;abppensioen;;Eind februari was de actuele #dekkingsgraad van #ABP 100,5%. Bekijk onze financiële situatie in één oogopslag: http://po.st/financieeldashboard https://t.co/hi3sjzJc84 ;;neutraal;;;;;;;414
14-03-2019 22:27:13;facebook;https://www.facebook.com/abppensioenfonds/inbox/2146446552068832/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Hoi Emmie, bedankt voor je bericht. We zijn er op dit moment niet, we nemen zo snel mogelijk contact met je op. Wil je bij een persoonlijke vraag je klantnummer en geboortedatum al meesturen? Dan kunnen we sneller aan de slag. ;;neutraal;;;;;;;0
14-03-2019 17:35:20;facebook;https://www.facebook.com/abppensioenfonds/inbox/2113879918658829/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Hoi Nelia, bedankt voor je bericht. We zijn er op dit moment niet, we nemen zo snel mogelijk contact met je op. Wil je bij een persoonlijke vraag je klantnummer en geboortedatum al meesturen? Dan kunnen we sneller aan de slag. ;;neutraal;;;;;;;0
14-03-2019 16:39:17;twitter;https://twitter.com/abppensioen/status/1106218246359928841/;abppensioen;;Direct message (rh0935): Hi Roel,  Dat ga ik voor je uitzoeken! Ik zal daar zo snel mogelijk bij je op terug komen.  Vriendelijke groet, Sanne ;;neutraal;;;;;;;0
14-03-2019 15:26:00;facebook;https://www.facebook.com/abppensioenfonds/inbox/2146446552068832/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Dat kan verklaren waarom we hem nog niet kunnen zien, Emmie. :) Inderdaad zou een digitaal verzoek sneller zijn geweest. Dat ben ik met je eens. Een proces voor waardeoverdracht kan veel tijd in beslag nemen. Er zijn veel stappen die doorlopen worden. Ik kan je niet precies aangeven wanneer er een reactie richting CB gaat. Daarvoor moet de afdeling eerst het verzoek hebben en je gegevens gaan bekijken.  Wel kan ik je een globaal beeld geven.  De maximale termijn die wij hebben om de gegevens aan CB aan te leveren is twee maanden.  CB heeft daarna maximaal twee maanden de tijd om jou een voorstel te sturen.  Daarna heb jij ook maximaal twee maanden om te reageren op het voorstel. Het totale proces van waardeoverdracht mag maximaal 13 maanden en 10 dagen in totaal duren. Een paar stappen heb je al doorlopen. Zoals de aanvraag bij je nieuwe fonds. En het nieuwe fonds heeft het verzoek naar ons gestuurd. Heb ik je vraag zo kunnen beantwoorden? Zo niet, hoor ik het graag!  Vriendelijke groet, Judith ;;neutraal;;;;;;;0
14-03-2019 15:16:00;facebook;https://facebook.com/439703479409823_2146344675412353/;ABP Pensioenfonds voor overheid en onderwijs;;ABP Pensioenfonds voor overheid en onderwijs Morgen is een belangrijke dag voor het Nederlandse onderwijs. Ruim de helft van alle docenten gaat morgen staken. De inzet? Verlagen van de werkdruk, beter salaris en aandacht voor het lerarentekort 👩‍🏫. Ga jij morgen de straat op? ;;neutraal;;;;;;;148
14-03-2019 14:47:37;twitter;https://twitter.com/abppensioen/status/1106190147610120192/;abppensioen;;@ccolijn1 Hi Chris, dankjewel! Deze tweet is nog steeds openbaar. Ik heb je vraag uitgezocht. Vanwege je privacy kunnen we dit beter in een privé gesprek bespreken. Op onze pagina kun je klikken op bericht verzenden . Op mobiel klik je op de envelop. Alvast bedankt! :) ^Koen ;;neutraal;;;;;;;54
14-03-2019 14:44:28;twitter;https://twitter.com/abppensioen/status/1106189351338295296/;abppensioen;;Morgen is een belangrijke dag voor het Nederlandse onderwijs. Ruim de helft van alle docenten gaat morgen staken. De inzet? Verlagen van de werkdruk, beter salaris en aandacht voor het lerarentekort 👩‍🏫. Ga jij morgen de straat op? #staking #Onderwijs https://t.co/4SkkhBALbv ;;negatief;;;;;;;942
14-03-2019 14:25:37;twitter;https://twitter.com/abppensioen/status/1106184608561983493/;abppensioen;;Direct message (rodirida): Hi Ron,  Dat is raar! Ik ga dat voor je uitzoeken. Zodra ik meer weet, laat ik het jou direct weten. :)  Vriendelijke groet, Koen ;;neutraal;;;;;;;0
14-03-2019 14:17:09;twitter;https://twitter.com/abppensioen/status/1106182477482246144/;abppensioen;;Morgen is een belangrijke dag voor het Nederlandse onderwijs. Ruim de helft van alle docenten gaat morgen staken. De inzet? Verlagen van de werkdruk, beter salaris en aandacht voor het lerarentekort 👩‍🏫. Ga jij morgen de straat op? https://t.co/G238jzOJMg ;;neutraal;;;;;;;896
14-03-2019 12:11:10;facebook;https://www.facebook.com/abppensioenfonds/inbox/2146446552068832/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Hallo Emmie,  Bedankt voor je bericht en het sturen van de gegevens van je echtgenoot.  Helaas kan ik in de gegevens van je echtgenoot nog geen verzoek tot waardeoverdracht vinden. Weet je nog wanneer jullie de aanvraag bij Centraal Beheer hebben ingediend?  Ik hoor graag van je.  Vriendelijke groet, Judith ;;neutraal;;;;;;;0
14-03-2019 10:08:03;facebook;https://www.facebook.com/abppensioenfonds/inbox/1531392030240957/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Graag gedaan, Henk!  Groeten, Koen ;;neutraal;;;;;;;0
14-03-2019 09:26:18;twitter;https://twitter.com/abppensioen/status/1106109285921116160/;abppensioen;;@ccolijn1 Hi Chris, dat kijk ik graag voor je na! Wil je mij een privé bericht sturen met je geboortedatum? :) Dan kunnen we daar verder spreken. In je tweet geef je je bsn. Je kunt deze het beste verwijderen vanwege privacy. ^Koen ;;neutraal;;;;;;;49
13-03-2019 17:23:09;twitter;https://twitter.com/abppensioen/status/1105866899013976070/;abppensioen;;Direct message (rh0935): Graag gedaan! We houden contact. (: Groet, Sanne ;;neutraal;;;;;;;0
13-03-2019 17:06:11;facebook;https://www.facebook.com/abppensioenfonds/inbox/2145804278799726/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Hi Yentl, Dankjewel voor je gegevens! Ik heb gelijk voor je nagekeken of het mogelijk is om je nabestaandenpensioen in één keer af te kopen. 🙂 Helaas is dit niet mogelijk… In 2019 is de afkoopgrens vastgesteld op €484,09 op bruto jaarbasis. Zoals je kan zien op je betaalspecificatie, valt je pensioen boven deze afkoopgrens waardoor we niet alles in één keer mogen uit te keren. Was dit wel mogelijk geweest, dan hadden we dit bij het toekennen van je nabestaandenpensioen al voorgesteld.😉  Hopelijk is mijn uitleg duidelijk. Zo niet, stel gerust je vragen!  Groet, Sanne ;;neutraal;;;;;;;0
13-03-2019 16:31:04;facebook;https://www.facebook.com/abppensioenfonds/inbox/2145795538800600/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): A correction to my answer. In the last sentence: the word answers  has the be the word: questions . My bad! 😅🙈  Kind regards, Koen ;;neutraal;;;;;;;0
13-03-2019 16:28:36;facebook;https://www.facebook.com/abppensioenfonds/inbox/2145795538800600/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Hi Hakan,  Thank you for sending your client number and date of birth! :)  You can move the accrued pension by requesting an international fund transfer. That way the values will be transferred to your new pension fund. However, it is not always possible to do an international fund transfer.  To validate if it is possible, your new pension fund or insurance company at which you are building a pension, needs to fill in a questionnaire. And then you or the new fund needs to send it back to us. You can also send the filled-form through this conversation. I will then make sure it reaches the correct department. I will add the questionnaire to this conversation.  If you have more answers, please let me know! Kind regards, Koen ;;neutraal;;;;;;;0
13-03-2019 16:28:32;facebook;https://www.facebook.com/abppensioenfonds/inbox/2113879918658829/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Hi Nelia, Thank you for your compliments!  Happy to help.😃 Enjoy your day! Kind regards, Koen ;;positief;;;;;;;0
13-03-2019 16:20:05;facebook;https://www.facebook.com/abppensioenfonds/inbox/2113579938688827/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Hoi Maurice, Sorry voor de lange duur. Ik zou je nog iets laten weten. Vandaag is er een brief naar je thuisadres verzonden, in reactie op jouw gestelde vraag. Dit is niet de service of termijn die je van ons mag verwachten. Daarom nogmaals onze oprechte excuses. De brief zal je binnen 2 dagen ontvangen. Mocht er nog iets zijn, weet je me te vinden. Groet, Judith ;;neutraal;;;;;;;0
13-03-2019 16:19:33;facebook;https://www.facebook.com/abppensioenfonds/inbox/2145804278799726/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Hallo Yentl,  Bedankt voor je bericht :) Goed dat je deze vraag stelt. Dit hangt af van de hoogte van het nabestaandenpensioen. Ik kijk het graag voor je na. Mag ik hiervoor je klantnummer en geboortedatum? Alvast bedankt! Groet, Sanne ;;neutraal;;;;;;;0
13-03-2019 15:54:14;twitter;https://twitter.com/abppensioen/status/1105844522477670404/;abppensioen;;Direct message (rh0935): Hoi Roel,  Bedankt voor het sturen van je gegevens! :) Raar dat je die bedragen niet meer ziet. Dat is natuurlijk niet de bedoeling.  Ik laat onze IT-specialist hier naar kijken. En zodra ik een reactie heb laat ik het jou direct weten!  Heb je in de tussentijd vragen? Ik hoor ze graag. :) Groet, Sanne ;;neutraal;;;;;;;0
13-03-2019 15:30:54;facebook;https://www.facebook.com/abppensioenfonds/inbox/2113879918658829/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Hi Nelia,  I just had contact with Lida. :) I explained to her what the procedure is. She is gonna contact the Belastingdienst to ask a few more questions on what the best way is to request the BSN. After that she will contact you about the letter.  We came to the conclusion that it would be wise to send the letter from Holland. That way we will be sure that it won t take weeks or months before you may receive an answers. Because the letter doesn t have to go abroad. However, I don t know if the Belastingdienst wants you to write in letter in person. So Lida is gonna ask them if it is okay that she writes the letter in Dutch. And then you sign it. She will contact you about these details.  You are very welcome and I wish you a nice day too! :) Kind regards, Koen ;;neutraal;;;;;;;0
13-03-2019 15:09:19;facebook;https://facebook.com/2145509188829235/?comment_id=2145763642137123;ABP Pensioenfonds voor overheid en onderwijs;;ABP Pensioenfonds voor overheid en onderwijs Ben ik het helemaal mee eens Marliek :) In het onderwijs is het stukje gevoel en empathie echt nodig. En zover ik weet heeft een robot dit niet :) Groet, Sanne ;;neutraal;;;;;;;10
13-03-2019 15:07:24;facebook;https://www.facebook.com/abppensioenfonds/inbox/1436296879750473/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Hi Ossi, Dankjewel voor je “Bewijs van in leven zijn”. 🙂 Helaas, hebben we je formulier niet op tijd ontvangen. Op dit moment is daardoor je pensioenuitkering gereserveerd. Maar wees gerust! Ik stuur je formulier door naar een collega van de afdeling. Zodra de afdeling je formulier heeft verwerkt, zullen alle betalingen weer plaatsvinden.😉 Ik houd je op de hoogte! Groet, Iris ;;neutraal;;;;;;;0
13-03-2019 14:43:13;twitter;https://twitter.com/abppensioen/status/1105826651416481796/;abppensioen;;@betamacx Hmm, vijf brieven is misschien wat overdreven 😅 Ben ik met je eens. Wil je je klantnummer via een DM doorsturen? Kijken hoe we dit kunnen verbeteren! ^Sanne ;;neutraal;;;;;;;33
13-03-2019 14:30:44;facebook;https://www.facebook.com/abppensioenfonds/inbox/1531392030240957/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): Hi Henk,  Die zijn we zeker niet vergeten! De eenmalige uitkering is meegenomen in de betaling. :)  Vriendelijke groet, Koen ;;neutraal;;;;;;;0
13-03-2019 14:12:39;facebook;https://www.facebook.com/abppensioenfonds/inbox/1436295796417248/;ABP Pensioenfonds voor overheid en onderwijs;;	Facebook conversatie (ABP Pensioenfonds voor overheid en onderwijs): 👍 ;;neutraal;;;;;;;0
